V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
-5.825511755410519,-5.656813412203163,-5.559135316391122,-5.5409516545526465,-5.595286641314588,-5.61875016054605,-5.309036254187853,-5.621307718529762,-5.752571869326868,-5.405497913980914,-5.110900962776439,-5.346963007381543,-5.064936933425094,-5.152070372001456
-5.61875016054605,-5.309036254187853,-5.752571869326868,-5.405497913980914,-5.110900962776439,-5.198646740976504,-5.064936933425094,-5.152070372001456,-5.122609784766271,-5.195422617773928,-4.9827754396655255,-5.148115933403931,999,999
-4.983193803374029,-4.9827754396655255,-5.148115933403931,-5.196805378989973,-4.988931482425353,-4.8972213646869465,-5.170055504515431,-5.19911025610588,-5.093396637902338,-5.111343409326439,-5.096515150091733,-5.52059168627935,-5.504857092403102,-5.098178545252055
-5.656813412203163,-5.559135316391122,-5.686618469584047,-5.595286641314588,-5.61875016054605,-5.309036254187853,-5.320823683614481,-5.752571869326868,-5.405497913980914,-5.110900962776439,-5.198646740976504,-5.152070372001456,-5.122609784766271,999
-6.827677546003984,-6.410154153444281,-5.879807629173695,-5.810859403186808,-6.2121998159699086,-5.480599903790235,-4.913645476239505,-4.938504814821323,-6.162073350559397,-5.316377117391828,-4.976356915468509,-4.948498329866666,-5.173747096534649,-4.974369227426345
-4.983193803374029,-4.9827754396655255,-5.148115933403931,-4.988931482425353,-4.8972213646869465,-5.170055504515431,-5.214952060342702,-5.093396637902338,-5.111343409326439,-5.096515150091733,-5.169410213590546,-5.504857092403102,-5.098178545252055,999
-6.094174900749843,-6.205106441220635,-5.939908774994643,-5.700381900623824,-6.027858979740731,-6.0475688187205865,-5.850329948976065,-5.503280785515458,-5.82140567536737,-5.866680254486143,-6.06103850702931,999,999,999
-5.972537247263633,-5.379461103095103,-5.0658398244873375,-5.180554227389262,-5.825511755410519,-5.656813412203163,-5.559135316391122,-5.686618469584047,-5.5409516545526465,-5.595286641314588,-5.61875016054605,-5.309036254187853,-5.752571869326868,-5.405497913980914
-5.686618469584047,-5.61875016054605,-5.309036254187853,-5.320823683614481,-5.752571869326868,-5.405497913980914,-5.110900962776439,-5.198646740976504,-5.344646669488211,-5.152070372001456,-5.122609784766271,-5.195422617773928,-5.148115933403931,999
-5.623220603111804,-5.3154264616590154,-5.625499457516217,-5.293221382924834,-5.203021536902663,-5.252946035514717,-5.534990160402111,-5.069015382229659,-5.091473873912283,-5.46700333874807,-5.322173082960737,-4.993383615277081,-5.178178259114281,999
-5.489737063041444,-5.655257409140991,-5.890251811434244,-5.548552647930093,-5.625773564692228,-5.8048461678508625,-6.015132697277545,-5.331896509544059,-5.599327225033069,-5.832868312750832,-5.898847399900798,-5.479659409051038,-5.765018937081639,-5.88505702499369
-5.890251811434244,-5.979253598263434,-5.625773564692228,-5.8048461678508625,-6.015132697277545,-5.599327225033069,-5.832868312750832,-5.898847399900798,-6.070086299640391,-5.765018937081639,-5.88505702499369,-5.86417848389369,999,999
-4.774169318727687,-5.2544542458552455,-5.151721397236969,-5.187606638423199,-5.6043158141874905,-5.667611809726794,-5.489737063041444,-5.655257409140991,-5.831561105784175,-5.891197419472007,-5.548552647930093,999,999,999
